ClaimNbr,CarBrandCode
CLM011BP-6310-000015,NISSAN
CLM011BP-6310-000024,TOYOTA
CLM011BP-6310-000033,MITSUBISHI
CLM011BP-6310-000042,NISSAN
CLM011BP-6310-000051,ISUZU
CLM011BP-6310-000060,ISUZU
CLM011BP-6310-000079,ISUZU
CLM011BP-6310-000088,MITSUBISHI
CLM011BP-6310-000097,TOYOTA
CLM011BP-6310-000100,ISUZU
CLM011BP-6310-000119,TOYOTA
CLM011BP-6310-000128,ISUZU
CLM011BP-6310-000137,OPEL
CLM011BP-6310-000146,VOLVO
CLM011BP-6310-000155,TOYOTA
CLM011BP-6310-000164,TOYOTA
CLM011BP-6310-000173,ISUZU
CLM011BP-6310-000182,NISSAN
CLM011BP-6310-000191,TOYOTA
CLM011BP-6310-000204,NISSAN
CLM011BP-6310-000213,ISUZU
CLM011BP-6310-000222,TOYOTA
CLM011BP-6310-000231,TOYOTA
CLM011BP-6310-000240,TOYOTA
CLM011BP-6310-000259,TOYOTA
CLM011BP-6310-000268,NISSAN
CLM011BP-6310-000277,NISSAN
CLM011BP-6310-000286,ISUZU
CLM011BP-6310-000295,ISUZU
CLM011BP-6310-000308,TOYOTA
CLM011BP-6310-000317,TOYOTA
CLM011BP-6310-000326,ISUZU
CLM011BP-6310-000335,TOYOTA
CLM011BP-6310-000344,HONDA
CLM011BP-6310-000353,SUZUKI
CLM011BP-6310-000362,TOYOTA
CLM011BP-6310-000371,MITSUBISHI
CLM011BP-6310-000380,TOYOTA
CLM011BP-6310-000399,TOYOTA
CLM011BP-6310-000402,TOYOTA
CLM011BP-6310-000411,TOYOTA
CLM011BP-6310-000420,ISUZU
CLM011BP-6310-000439,ISUZU
CLM011BP-6310-000448,TOYOTA
CLM011BP-6310-000457,TOYOTA
CLM011BP-6310-000466,TOYOTA
CLM011BP-6310-000475,TOYOTA
CLM011BP-6310-000484,NISSAN
CLM011BP-6310-000493,TOYOTA
CLM011BP-6310-000506,ISUZU
CLM011BP-6310-000515,TOYOTA
CLM011BP-6310-000524,ISUZU
CLM011BP-6310-000533,NISSAN
CLM011BP-6310-000542,HONDA
CLM011BP-6310-000551,WILLYS
CLM011BP-6310-000560,ISUZU
CLM011BP-6310-000579,TOYOTA
CLM011BP-6310-000588,HONDA
CLM011BP-6310-000597,NISSAN
CLM011BP-6310-000600,HONDA
CLM011BP-6310-000619,NISSAN
CLM011BP-6310-000628,TOYOTA
CLM011BP-6310-000637,NISSAN
CLM0112M-6302-000019,HONDA
CLM011BP-6310-000646,ISUZU
CLM0112M-6302-000023,YAMAHA
CLM011BP-6310-000655,MERCEDES-BENZ
CLM0112M-6302-000037,HONDA
CLM011BP-6310-000664,TOYOTA
CLM0112M-6302-000041,HONDA
CLM011BP-6310-000673,TOYOTA
CLM0112M-6302-000055,HONDA
CLM011BP-6310-000682,TOYOTA
CLM011BP-6310-000691,ISUZU
CLM0112M-6302-000069,HONDA
CLM0112M-6302-000073,SUZUKI
CLM011BP-6310-000704,ISUZU
CLM0112M-6302-000087,HONDA
CLM011BP-6310-000713,ISUZU
CLM0112M-6302-000091,KAWASAKI
CLM011BP-6310-000722,TOYOTA
CLM0112M-6302-000102,YAMAHA
CLM011BP-6310-000731,MITSUBISHI
CLM0112M-6302-000116,HONDA
CLM011BP-6310-000740,TOYOTA
CLM0112M-6302-000120,B.M.W.
CLM0112M-6302-000134,VESPA
CLM011BP-6310-000759,ISUZU
CLM011BP-6310-000768,TOYOTA
CLM0112M-6302-000148,YAMAHA
CLM0112M-6302-000152,HONDA
CLM011BP-6310-000777,PROTON
CLM011BP-6310-000786,NISSAN
CLM0112M-6302-000166,HONDA
CLM0112M-6302-000170,HONDA
CLM011BP-6310-000795,TOYOTA
CLM0112M-6302-000184,YAMAHA
CLM011BP-6310-000808,ISUZU
CLM011BP-6310-000817,TOYOTA
CLM0112M-6302-000198,HONDA
CLM011BP-6310-000826,ISUZU
CLM0112M-6302-000209,YAMAHA
CLM011BP-6310-000835,HONDA
CLM0112M-6302-000213,HONDA
CLM011BP-6310-000844,HONDA
CLM0112M-6302-000227,YAMAHA
CLM011BP-6310-000853,TOYOTA
CLM0112M-6302-000231,HONDA
CLM011BP-6310-000862,ISUZU
CLM0112M-6302-000245,YAMAHA
CLM011BP-6310-000871,ISUZU
CLM011BP-6310-000880,ISUZU
CLM0112M-6302-000259,YAMAHA
CLM0112M-6302-000263,HONDA
CLM011BP-6310-000899,MITSUBISHI
CLM0112M-6302-000277,YAMAHA
CLM011BP-6310-000902,TOYOTA
CLM0112M-6302-000281,YAMAHA
CLM011BP-6310-000911,MITSUBISHI
CLM0112M-6302-000295,HONDA
CLM011BP-6310-000920,ISUZU
CLM0112M-6302-000306,HONDA
CLM0112M-6302-000310,HONDA
CLM011BP-6310-000939,TOYOTA
CLM0112M-6302-000324,HONDA
CLM011BP-6310-000948,HONDA
CLM011BP-6310-000957,TOYOTA
CLM0112M-6302-000338,HONDA
CLM0112M-6302-000342,YAMAHA
CLM011BP-6310-000966,MITSUBISHI
CLM011BP-6310-000975,ISUZU
CLM0112M-6302-000356,HONDA
CLM011BP-6310-000984,TOYOTA
CLM0112M-6302-000360,YAMAHA
CLM011BP-6310-000993,CHEVROLET
CLM0112M-6302-000374,YAMAHA
CLM011BP-6310-001003,NISSAN
CLM0112M-6302-000388,HONDA
CLM011BP-6310-001012,PROTON
CLM0112M-6302-000392,HONDA
CLM011BP-6310-001021,TOYOTA
CLM0112M-6302-000403,HONDA
CLM011BP-6310-001030,NISSAN
CLM0112M-6302-000417,YAMAHA
CLM0112M-6302-000421,HONDA
CLM011BP-6310-001049,MITSUBISHI
CLM011BP-6310-001058,TOYOTA
CLM0112M-6302-000435,HONDA
CLM011BP-6310-001067,TOYOTA
CLM0112M-6302-000449,YAMAHA
CLM011BP-6310-001076,TOYOTA
CLM0112M-6302-000453,HONDA
CLM011BP-6310-001085,TOYOTA
CLM0112M-6302-000467,HONDA
CLM011BP-6310-001094,HONDA
CLM0112M-6302-000471,YAMAHA
CLM011BP-6310-001107,TOYOTA
CLM0112M-6302-000485,HONDA
CLM011BP-6310-001116,ISUZU
CLM0112M-6302-000499,HONDA
CLM0112M-6302-000500,HONDA
CLM011BP-6310-001125,TOYOTA
CLM011BP-6310-001134,ISUZU
CLM011AP-6305-000016,TOYOTA
CLM0112M-6302-000514,HONDA
CLM011BP-6310-001143,HONDA
CLM011AP-6305-000025,NISSAN
CLM0112M-6302-000528,TRIUMPH
CLM011BP-6310-001152,MITSUBISHI
CLM011AP-6305-000034,NISSAN
CLM0112M-6302-000532,YAMAHA
CLM011BP-6310-001161,TOYOTA
CLM011AP-6305-000043,ISUZU
CLM0112M-6302-000546,HONDA
CLM011BP-6310-001170,ISUZU
CLM011AP-6305-000052,TOYOTA
CLM0112M-6302-000550,HONDA
CLM011AP-6305-000061,TOYOTA
CLM0112M-6302-000564,HONDA
CLM011BP-6310-001189,NISSAN
CLM011AP-6305-000070,HONDA
CLM011BP-6310-001198,PROTON
CLM011BP-6310-001201,ISUZU
CLM0112M-6302-000578,HONDA
CLM0112M-6302-000582,KAWASAKI
CLM011AP-6305-000089,ISUZU
CLM011BP-6310-001210,TOYOTA
CLM011AP-6305-000098,MITSUBISHI
CLM0112M-6302-000596,YAMAHA
CLM011AP-6305-000101,TOYOTA
CLM011BP-6310-001229,NISSAN
CLM0112M-6302-000607,YAMAHA
CLM011AP-6305-000110,SOKON
CLM0112M-6302-000611,HONDA
CLM011BP-6310-001238,TOYOTA
CLM011BP-6310-001247,MAZDA
CLM0112M-6302-000625,HONDA
CLM011AP-6305-000129,ISUZU
CLM011BP-6310-001256,TOYOTA
CLM011AP-6305-000138,MITSUBISHI
CLM0112M-6302-000639,HONDA
CLM011BP-6310-001265,NISSAN
CLM0112M-6302-000643,KAWASAKI
CLM011AP-6305-000147,PROTON
CLM011BP-6310-001274,HONDA
CLM011AP-6305-000156,FORD
CLM0112M-6302-000657,HONDA
CLM011BP-6310-001283,MAZDA
CLM0112M-6302-000661,YAMAHA
CLM011AP-6305-000165,ISUZU
CLM011BP-6310-001292,NISSAN
CLM011AP-6305-000174,PERODUA
CLM0112M-6302-000675,HONDA
CLM011AP-6305-000183,ISUZU
CLM011BP-6310-001305,ISUZU
CLM0112M-6302-000689,HONDA
CLM011AP-6305-000192,TOYOTA
CLM011BP-6310-001314,TOYOTA
CLM0112M-6302-000693,HONDA
CLM011BP-6310-001323,NISSAN
CLM011AP-6305-000205,MERCEDES-BENZ
CLM0112M-6302-000704,BAJAJ
CLM011BP-6310-001332,HONDA
CLM011AP-6305-000214,NISSAN
CLM011BP-6310-001341,MITSUBISHI
CLM0112M-6302-000718,HONDA
CLM0112M-6302-000722,HONDA
CLM011BP-6310-001350,TOYOTA
CLM0112M-6302-000736,YAMAHA
CLM0112M-6302-000740,YAMAHA
CLM011BP-6310-001369,ISUZU
CLM0112M-6302-000754,HONDA
CLM011BP-6310-001378,TOYOTA
CLM011BP-6310-001387,MITSUBISHI
CLM0112M-6302-000768,YAMAHA
CLM011BP-6310-001396,VOLVO
CLM0112M-6302-000772,HONDA
CLM011BP-6310-001409,TOYOTA
CLM0112M-6302-000786,HONDA
CLM0112M-6302-000790,YAMAHA
CLM011BP-6310-001418,TOYOTA
CLM0112M-6302-000801,YAMAHA
CLM011BP-6310-001427,SUZUKI
CLM011BP-6310-001436,CHEVROLET
CLM0112M-6302-000815,HONDA
CLM011BP-6310-001445,TOYOTA
CLM0112M-6302-000829,YAMAHA
CLM011BP-6310-001454,HONDA
CLM0112M-6302-000833,HONDA
CLM011BP-6310-001463,ISUZU
CLM0112M-6302-000847,HONDA
CLM011BP-6310-001472,ISUZU
CLM0112M-6302-000851,YAMAHA
CLM011BP-6310-001481,HONDA
CLM0112M-6302-000865,HONDA
CLM011BP-6310-001490,HONDA
CLM0112M-6302-000879,YAMAHA
CLM011BP-6310-001503,TOYOTA
CLM0112M-6302-000883,HONDA
CLM011A3-6306-000017,NISSAN
CLM011BP-6310-001512,TOYOTA
CLM011A3-6306-000021,TOYOTA
CLM0112M-6302-000897,HONDA
CLM011BP-6310-001521,NISSAN
CLM011A3-6306-000035,MITSUBISHI
CLM011BP-6310-001530,TOYOTA
CLM0112M-6302-000908,HONDA
CLM0112M-6302-000912,HONDA
CLM011A3-6306-000049,ISUZU
CLM011A3-6306-000053,TOYOTA
CLM011BP-6310-001549,NISSAN
CLM0112M-6302-000926,YAMAHA
CLM0112M-6302-000930,YAMAHA
CLM011BP-6310-001558,TOYOTA
CLM011A3-6306-000067,ISUZU
CLM011A3-6306-000071,TOYOTA
CLM011BP-6310-001567,TOYOTA
CLM0112M-6302-000944,HONDA
CLM011BP-6310-001576,TOYOTA
CLM011A3-6306-000085,TOYOTA
CLM0112M-6302-000958,VESPA
CLM011BP-6310-001585,MITSUBISHI
CLM0112M-6302-000962,HONDA
CLM011A3-6306-000099,TOYOTA
CLM011A3-6306-000100,ISUZU
CLM011BP-6310-001594,TOYOTA
CLM0112M-6302-000976,HONDA
CLM0112M-6302-000980,YAMAHA
CLM011A3-6306-000114,TOYOTA
CLM011BP-6310-001607,ISUZU
CLM011BP-6310-001616,MITSUBISHI
CLM0112M-6302-000994,YAMAHA
CLM011A3-6306-000128,MITSUBISHI
CLM011A3-6306-000132,TOYOTA
