ClaimNbr,CarBrandCode,CarModel
CLM011BP-6310-000015,NISSAN,FRONTIER
CLM011BP-6310-000024,TOYOTA,HIACE
CLM011BP-6310-000033,MITSUBISHI,STRADA MEGA CAB
CLM011BP-6310-000042,NISSAN,FRONTIER
CLM011BP-6310-000051,ISUZU,DMAX HI-LANDER
CLM011BP-6310-000060,ISUZU,DMAX
CLM011BP-6310-000079,ISUZU,DMAX
CLM011BP-6310-000088,MITSUBISHI,TRITON MEGA CAB
CLM011BP-6310-000097,TOYOTA,HILUX Diesel
CLM011BP-6310-000100,ISUZU,DMAX
CLM011BP-6310-000119,TOYOTA,VIOS
CLM011BP-6310-000128,ISUZU,SPACECAB
CLM011BP-6310-000137,OPEL,-
CLM011BP-6310-000146,VOLVO,740 GL
CLM011BP-6310-000155,TOYOTA,ALTIS
CLM011BP-6310-000164,TOYOTA,VIGO
CLM011BP-6310-000173,ISUZU,DMAX
CLM011BP-6310-000182,NISSAN,CEFIRO
CLM011BP-6310-000191,TOYOTA,SOLUNA 1.5 XLI
CLM011BP-6310-000204,NISSAN,BIG M KINGCAB NEW
CLM011BP-6310-000213,ISUZU,DMAX
CLM011BP-6310-000222,TOYOTA,CAMRY 2.4
CLM011BP-6310-000231,TOYOTA,YARIS
CLM011BP-6310-000240,TOYOTA,SOLUNA
CLM011BP-6310-000259,TOYOTA,SOLUNA
CLM011BP-6310-000268,NISSAN,BIG M
CLM011BP-6310-000277,NISSAN,FRONTIER
CLM011BP-6310-000286,ISUZU,DRAGON EYE
CLM011BP-6310-000295,ISUZU,DMAX
CLM011BP-6310-000308,TOYOTA,TIGER
CLM011BP-6310-000317,TOYOTA,TIGER
CLM011BP-6310-000326,ISUZU,DRAGON EYE
CLM011BP-6310-000335,TOYOTA,VIGO
CLM011BP-6310-000344,HONDA,BRIO AMAZE
CLM011BP-6310-000353,SUZUKI,CARRY
CLM011BP-6310-000362,TOYOTA,VIGO
CLM011BP-6310-000371,MITSUBISHI,L200 CYCLONE
CLM011BP-6310-000380,TOYOTA,YARIS 1.5E A
CLM011BP-6310-000399,TOYOTA,VIGO
CLM011BP-6310-000402,TOYOTA,CAMRY
CLM011BP-6310-000411,TOYOTA,YARIS
CLM011BP-6310-000439,ISUZU,DMAX
CLM011BP-6310-000448,TOYOTA,VIGO
CLM011BP-6310-000457,TOYOTA,VIGO
CLM011BP-6310-000466,TOYOTA,VIGO
CLM011BP-6310-000475,TOYOTA,COROLLA
CLM011BP-6310-000484,NISSAN,ALMERA
CLM011BP-6310-000493,TOYOTA,HIACE
CLM011BP-6310-000506,ISUZU,DMAX
CLM011BP-6310-000515,TOYOTA,VIGO
CLM011BP-6310-000524,ISUZU,TFR
CLM011BP-6310-000533,NISSAN,ALMERA
CLM011BP-6310-000542,HONDA,CIVIC
CLM011BP-6310-000551,WILLYS,WILLYS
CLM011BP-6310-000560,ISUZU,DMAX
CLM011BP-6310-000579,TOYOTA,VIGO
CLM011BP-6310-000588,HONDA,CITY
CLM011BP-6310-000597,NISSAN,SENTRA 1.5
CLM011BP-6310-000600,HONDA,CITY
CLM011BP-6310-000619,NISSAN,TIIDA 1.6
CLM011BP-6310-000628,TOYOTA,VIGO
CLM011BP-6310-000637,NISSAN,FRONTIER
CLM0112M-6302-000019,HONDA,WAVE125 i
CLM011BP-6310-000646,ISUZU,TFR
CLM0112M-6302-000023,YAMAHA,GRAND FILANO
CLM011BP-6310-000655,MERCEDES-BENZ,CLS 250 CDI
CLM0112M-6302-000037,HONDA,CB500X
CLM011BP-6310-000664,TOYOTA,HILUX Diesel
CLM0112M-6302-000041,HONDA,FORZA
CLM011BP-6310-000673,TOYOTA,VIGO
CLM0112M-6302-000055,HONDA,CB650FA
CLM011BP-6310-000682,TOYOTA,VIGO
CLM011BP-6310-000691,ISUZU,DMAX
CLM0112M-6302-000069,HONDA,<= 150CC
CLM0112M-6302-000073,SUZUKI,FU150SC
CLM011BP-6310-000704,ISUZU,DMAX
CLM0112M-6302-000087,HONDA,DREAM125
CLM011BP-6310-000713,ISUZU,THAIRUNG
